	S14	S71	S13	S79	S20	S91	S78	S26	S53	S8	S84	S28	S76	S31	S69	S94	S75	S77	S57	S11	S96	S47	S68	S40	S97	S80	S37	S58	S98	S63	S36	S45	S2	S15	S88	S32	S21	S55	S70	S19	S23	S17	S51	S56	S10	S9	S64	S44	S41	S48	S87	S7	S92	S29	S38	S59
S84	0.661786648148585	0.581360960295844	0.673387900916952	0.615870313404154	0.667375019722152	0.649493599726289	0.628465372382818	0.672189694677736	0.675506403330054	0.668553047585225	0	0.610144995173423	0.602595605669943	0.660849509294782	0.614439239936532	0.653400807089742	0.64643352364761	0.561361177302404	0.61221226661148	0.632023967748928	0.694533833156203	0.630408240354799	0.627850153098169	0.629916430280741	0.595243240291532	0.613866470997237	0.578343410873955	0.627614956702361	0.652388824507339	0.637985946659877	0.618045532608432	0.641285230387515	0.679835492863203	0.635282527074034	0.589685716327236	0.659368661166308	0.64899353012212	0.663444546821188	0.641289946112351	0.656943349024225	0.651660167245596	0.652410850606416	0.673657404400203	0.662440978226368	0.630152666396799	0.662810765577732	0.674363742331415	0.6524983512339	0.628297280610997	0.63119712832981	0.633673209787603	0.659559423493201	0.644808478439266	0.659041791265814	0.637275201558623	0.643127012334341
S28	0.60623244899315	0.614868498876071	0.62690871660905	0.593854170714434	0.636386952320579	0.621790001994109	0.611883584382272	0.617655041768402	0.637089122516777	0.630386025165372	0.610144995173423	0	0.59044510524675	0.63080645586004	0.601468042903498	0.617248793142248	0.596915337066794	0.601292282701542	0.615394995064549	0.597751626464735	0.655950322084663	0.604989240657466	0.602382681978271	0.599186329219877	0.613480046815111	0.595582418929	0.607896829568089	0.610671601764741	0.615168970772714	0.614535344675901	0.614923286666512	0.624431941810758	0.648803175428881	0.597573807014666	0.623745761751072	0.62603386413824	0.638542353544008	0.620515011648324	0.616847098173426	0.613234812497653	0.591789768632174	0.620196270328989	0.636803997898573	0.610846270361844	0.602755315414513	0.610704626555747	0.63952759241522	0.632156622540891	0.594646800674787	0.612953876570343	0.614980040489471	0.642435281351965	0.623188118607989	0.629652025968655	0.61099449129482	0.616245598235966
S76	0.628453773267802	0.590930641763243	0.629061298250513	0.583612790514068	0.629673923291525	0.61376897132136	0.591632900703023	0.62539467259558	0.638822245327746	0.641160925989331	0.602595605669943	0.59044510524675	0	0.633353400201094	0.598468026219956	0.614477112464817	0.587313413755469	0.574114973515003	0.615567790163976	0.608973365781293	0.644419463517677	0.614648292184653	0.610559370345054	0.606773577860624	0.598105549380607	0.602377629064914	0.601117333575769	0.608452190728076	0.62609084809194	0.601774095668284	0.613135560066796	0.600837192222876	0.651731526808327	0.620521235289131	0.6144068210546	0.624901886995659	0.625464016673949	0.636489709894415	0.609859681425499	0.608195683669575	0.605915031202284	0.610713761815421	0.644222371826786	0.629327210048789	0.60792990329005	0.61808382438032	0.633706254153317	0.625784286796385	0.613683334792621	0.623854017341087	0.599693343124688	0.639955216650879	0.615137166037962	0.632717527587513	0.617307941482716	0.605513572053468
S31	0.592489846555157	0.670611622461151	0.586757366157341	0.597081969487361	0.614001335889558	0.597589390113718	0.592501341733953	0.583267046293203	0.617059926171204	0.599489168472649	0.660849509294782	0.63080645586004	0.633353400201094	0	0.600691009001267	0.620980868488821	0.605325923354411	0.6703612597416	0.636667930054622	0.608168580016004	0.62131853957263	0.600391493743621	0.614430504748186	0.614549165537954	0.651361258821536	0.628101248810239	0.657470823087026	0.612986938227231	0.61809950919578	0.622577329382695	0.601489624914146	0.580437680031557	0.59745349193466	0.601157573343953	0.652740646475572	0.573632285105295	0.654410990113904	0.60283018221287	0.580097384063221	0.618689452554647	0.613273228695672	0.609822849094254	0.631919027355673	0.605674723006728	0.617436854371326	0.604641468308946	0.572946261653613	0.580556975587517	0.617305908630473	0.603917070012889	0.60946616731743	0.589988151696877	0.61388179433836	0.567252140386765	0.617501001679257	0.61639573442714
S69	0.611572032601607	0.625939353520682	0.625950496844194	0.589119480079953	0.624849617034555	0.618238881790851	0.578940343374202	0.627592209454705	0.641025428409694	0.633130531305225	0.614439239936532	0.601468042903498	0.598468026219956	0.600691009001267	0	0.617085828764163	0.60250642205783	0.609515492287023	0.601994394147304	0.607177294965746	0.657066365024395	0.591053484238634	0.567738957750647	0.609216631353109	0.610128023242015	0.609713334739704	0.608987133822693	0.604429248594696	0.626431636206371	0.605718759078943	0.615818940099161	0.593758566545471	0.62853931695714	0.602415613119359	0.62995444574808	0.618249006404237	0.624228668520649	0.634001353341399	0.572458635278594	0.622140423019343	0.615583024349217	0.619005520997256	0.65604372062922	0.623834477783095	0.616262919526893	0.619421383324503	0.610647831178811	0.60081922442655	0.603380142444231	0.596434693906253	0.618414100807768	0.613179116272697	0.625973053696779	0.598936676931293	0.617121134610272	0.607507108712927
S94	0.623696748626027	0.649907545470276	0.615254558603759	0.59931857527627	0.594107677664943	0.602432874837224	0.622810429989011	0.605316829062231	0.617257488280323	0.637693126966709	0.653400807089742	0.617248793142248	0.614477112464817	0.620980868488821	0.617085828764163	0	0.607929359921604	0.650088356465876	0.617113066259248	0.62358251454842	0.61246103559964	0.612777088453645	0.607143443287367	0.597552216222866	0.596851923797966	0.62434629620042	0.632394730647966	0.601493194778649	0.585968394741909	0.602058743690023	0.596563823646984	0.59068380091735	0.620036954934224	0.603102910915101	0.635291683754668	0.576200096063432	0.621567610782002	0.602875422478159	0.607265119871209	0.602538616951028	0.607952046833618	0.61645137055054	0.636962170866776	0.596830873774016	0.61416134313807	0.603433515571166	0.61296576837344	0.589158579524089	0.609020190470884	0.614718080906486	0.598392243489553	0.615468395973456	0.579937978983835	0.605100238523235	0.609751499384131	0.585327191379824
S75	0.605009144659773	0.642655042791732	0.599656730680524	0.579571833132391	0.620699945295464	0.596048391959221	0.580765687185676	0.591624708450683	0.630765000758408	0.615123268574689	0.64643352364761	0.596915337066794	0.587313413755469	0.605325923354411	0.60250642205783	0.607929359921604	0	0.637308188468644	0.628035206115028	0.592647101795682	0.626298266181811	0.612544289665803	0.593629338212528	0.587816398623764	0.624217067098126	0.612390565612357	0.638064814184083	0.59257533287016	0.612685220496528	0.592106768061779	0.601057379290368	0.59819333202733	0.631018678704286	0.604426957070765	0.645601828010547	0.597856234774395	0.6527012285398	0.611532522104108	0.604550141683997	0.600529582432693	0.596363961144688	0.617798623730367	0.641042344921895	0.619553709955589	0.613328663590764	0.592097996862154	0.601033161332323	0.596429839755198	0.593985081377788	0.610482073747126	0.599773935986037	0.624281480778707	0.613797396862886	0.611325672971669	0.58739119656967	0.595403298556014
S77	0.654969013757194	0.571219290659668	0.675378441849087	0.612127150928686	0.660783268426663	0.654174143473015	0.612484805979803	0.668143461333804	0.672669996445241	0.66890240253915	0.561361177302404	0.601292282701542	0.574114973515003	0.6703612597416	0.609515492287023	0.650088356465876	0.637308188468644	0	0.625118620320597	0.627611319790594	0.68842263534621	0.617571334837343	0.627518397402707	0.626168834401084	0.597791451840473	0.6096254862404	0.599208145382197	0.628112270280623	0.660689271082552	0.638933575551687	0.648351883178215	0.643951202788096	0.677105435713303	0.633475021868826	0.607659994596912	0.665688902605621	0.642637676609366	0.66710041679504	0.64601450725486	0.644491787971417	0.641307948559764	0.641495938879298	0.664358262129593	0.663593193838987	0.626028068564813	0.654372442980825	0.676967650616409	0.653836314548108	0.624672209690609	0.628303386514173	0.639413159848382	0.659445915355758	0.646413118167818	0.654046923988952	0.648286641464849	0.638249708883534
S57	0.635459743014162	0.622379635525895	0.646987424232116	0.60564868195762	0.636019816114889	0.631491239447748	0.634815773979234	0.63314570019998	0.646612921909631	0.644191242908448	0.61221226661148	0.615394995064549	0.615567790163976	0.636667930054622	0.601994394147304	0.617113066259248	0.628035206115028	0.625118620320597	0	0.61405334005989	0.67605609182075	0.605235233205785	0.578118300887075	0.609758520047056	0.595950241099507	0.587657058986327	0.593626009217222	0.555397909589387	0.638345251950851	0.602520704040652	0.602978532071158	0.607298195746667	0.648812288403717	0.614360526187769	0.612570299079935	0.625671709186003	0.643132263194524	0.633946283201644	0.608064600046874	0.619068362206736	0.626573497639755	0.624916876749505	0.659729258298894	0.628399601103525	0.594749140185634	0.617466025913572	0.63769220819055	0.6248559630389	0.582617339257282	0.621817034807794	0.62797425335541	0.623368354841056	0.643592519935567	0.641795893602557	0.619501299677251	0.589716594561724
S11	0.575857116685138	0.634502174117054	0.587662452557826	0.604345721518515	0.601449363925846	0.607022095586439	0.605920298848583	0.587015558371571	0.610553619974475	0.587641175851014	0.632023967748928	0.597751626464735	0.608973365781293	0.608168580016004	0.607177294965746	0.62358251454842	0.592647101795682	0.627611319790594	0.61405334005989	0	0.629066882813843	0.603257538768514	0.597902432214847	0.600927241600608	0.634172043043406	0.589625001771645	0.631964947565193	0.578267890756401	0.612350361911444	0.616769180246346	0.60477138509268	0.604044308579811	0.618418514466857	0.587248110203349	0.625481890512277	0.606496859501715	0.63089052776454	0.605223229008235	0.597274939087875	0.587486425455144	0.575341777049193	0.589135881356543	0.612453244917313	0.596724294063663	0.576600541890338	0.571514115022929	0.59889824812742	0.605995583665366	0.600995214211372	0.616945613054284	0.607555639404013	0.605094326203755	0.621201714635962	0.616374617459471	0.598589956653149	0.600055784730742
