	S14	S71	S13	S79	S20	S91	S78	S26	S53	S8	S84	S28	S76	S31	S69	S94	S75	S77	S57	S11	S96	S47	S68	S40	S97	S80	S37	S58	S98	S63	S36	S45	S2	S15	S88	S32	S21	S55	S70	S19	S23	S17	S51	S56	S10	S9	S64	S44	S41	S48	S87	S7	S92	S29	S38	S59
S57	0.259546576535976	0.224248677475223	0.252875553822794	0.154702541831309	0.255906322338194	0.233148761358933	0.226871300628068	0.253862998750572	0.277358892699175	0.243535931827772	0.195428321737579	0.144468078903225	0.146165428349014	0.232421167190747	0.145091954506622	0.203702000392916	0.218643430729368	0.254833648786132	0	0.195459690793832	0.285894701920588	0.141971984621849	0.160550446103496	0.182149210074376	0.130554661502539	0.149805196899639	0.121681784997109	0.137680878591489	0.211773390585548	0.155510963020038	0.163376114119486	0.204886730668961	0.243103498901028	0.243405195458327	0.136444438672674	0.225900937877132	0.249543364781772	0.227952585635046	0.186981331698799	0.235606255125378	0.218716768214492	0.300931876660637	0.270249505013923	0.222375082451922	0.214617471878421	0.270913697586076	0.251235793838791	0.223912699475921	0.182525795433276	0.147567836333538	0.220636420779115	0.255242916440759	0.220776470568847	0.239001971598395	0.182715869017376	0.175559192282462
S11	0.0992522171603313	0.317380899682313	0.110247762937681	0.10625410164233	0.113957920031851	0.113742588194691	0.157916493380321	0.110181701048384	0.155544831101538	0.115321080101816	0.293029766130388	0.142799804027388	0.183825926757018	0.143339146325481	0.139395753860135	0.143293764537424	0.142167582794678	0.32680097892417	0.195459690793832	0	0.143990708403879	0.138041487217938	0.14701071753768	0.128749396290584	0.193414934490578	0.185420707193596	0.237115862916843	0.129940793707414	0.123021379655003	0.144615169727255	0.113200068304662	0.134019098980781	0.118527693850031	0.116542250754153	0.217993883963242	0.106442786508588	0.15333222801078	0.145395837847919	0.122919137858189	0.105718723168259	0.0682015907702611	0.168709912842902	0.148941460396789	0.133148163426426	0.106725598636297	0.122195110285539	0.14869990826816	0.153804183575486	0.146854385202395	0.136735466979391	0.128280416068196	0.120938363850554	0.151401402595852	0.156997081332222	0.116746904312338	0.12977663886129
S96	0.137393412778299	0.38432058565841	0.100907366838018	0.192475169002629	0.0960623670386268	0.13448383751215	0.19436427250909	0.109261161066718	0.121697172320409	0.141012328711879	0.368557708211902	0.234263279464022	0.245411926575424	0.167278106132739	0.237342626182481	0.165607513623309	0.209137831656943	0.388672670741393	0.285894701920588	0.143990708403879	0	0.234316920541477	0.234799701124948	0.217489781303882	0.24174169299935	0.277285418274017	0.325695758312574	0.194793816445111	0.114317930356146	0.220523715615685	0.177116974315831	0.174855573364185	0.151178206958192	0.152572986423261	0.292650446821548	0.11921725227449	0.159145330222745	0.175081088219776	0.197853355231236	0.164798972890307	0.119179405746935	0.165469631558667	0.118134505419884	0.124410667555471	0.160193357431589	0.127526343452213	0.145244985247268	0.173990653361674	0.230342585872293	0.232226018937394	0.124230215973595	0.146725327617231	0.136883697272012	0.18324685535664	0.180110317734359	0.171833734690582
S47	0.184190055767126	0.279389892495362	0.169811859322835	0.109580472253078	0.192957986952228	0.155052712991671	0.115727703951058	0.187743268039167	0.209001214712517	0.155768159106822	0.255070293587259	0.126808154559216	0.162810350191153	0.13309373879964	0.091708799606879	0.153533967593125	0.159557944554421	0.288752623500314	0.141971984621849	0.138041487217938	0.234316920541477	0	0.147959418783795	0.136049628047805	0.161573027445711	0.145864147478358	0.181384662774538	0.105117537968711	0.156824836815544	0.139080283175477	0.119175365083485	0.113358543590141	0.156116173252301	0.192495920053687	0.182951122184987	0.165906869630455	0.223135135003833	0.163228141157105	0.0931074917651501	0.201239999141141	0.166162672344066	0.255011412217391	0.197532682063364	0.160432438904104	0.17594295995414	0.222782728938587	0.150457008797714	0.125315276719948	0.157727120543865	0.0241710326507742	0.163578862384823	0.186231363472431	0.161127732029398	0.156263726476019	0.139240775953201	0.145937369858242
S68	0.216703646204669	0.304586348511876	0.195875235824286	0.104921182769096	0.197103048117916	0.180272377159145	0.184399494857554	0.204733261012642	0.216571149594391	0.191770127402415	0.27987469597266	0.120275704607999	0.193318173738993	0.18039506408361	0.101673491111254	0.156952803750795	0.0911653162213823	0.32305546405076	0.160550446103496	0.14701071753768	0.234799701124948	0.147959418783795	0	0.0785160886512848	0.19280594345654	0.0888288786778608	0.214288542320987	0.12037053276616	0.165181352264852	0.0978291892041622	0.126596869989418	0.16281032064284	0.196937331156287	0.21169791447304	0.216209875045252	0.172006156326587	0.227195177893461	0.173765026649952	0.154241874925599	0.173608567054448	0.166174159027795	0.263731736763541	0.218025491789395	0.17776965952854	0.194914283205525	0.232902090891286	0.188995306511876	0.181719696089716	0.0629264745752332	0.14866175130264	0.162859558266253	0.2161907963005	0.16338987044262	0.184464866472612	0.114837735140375	0.117679453046364
S40	0.193773609818291	0.317675318179376	0.16645646026564	0.083155843029676	0.177325124716755	0.148058490648822	0.163557820750905	0.172818517775009	0.191104531600034	0.164260701638073	0.294399241791888	0.120228871498326	0.18711982814662	0.15512664740739	0.10858022534986	0.119282362726151	0.0778370078635878	0.32744170018881	0.182149210074376	0.128749396290584	0.217489781303882	0.136049628047805	0.0785160886512848	0	0.194810636159127	0.128532063001605	0.224365364524697	0.121015117322233	0.143424099087423	0.0854841300045096	0.0932897428920879	0.151645196030429	0.181099681834065	0.193497291309556	0.221038840405508	0.146747521953401	0.22780797482373	0.131124159074303	0.135981074406454	0.151213757931789	0.142245234329719	0.238560700390403	0.198854499396134	0.157763710728718	0.19236695753207	0.201156137192514	0.15947977993286	0.151605704355865	0.0695412920211923	0.137547972279729	0.135475673312587	0.193892895982104	0.144175486146593	0.151153429595463	0.077409146309677	0.0933293268033534
S97	0.227260701781167	0.171284110096992	0.21665057276117	0.161297010405732	0.215435133908577	0.192744240981205	0.17513434364239	0.216489841459193	0.229750628968397	0.205276384279395	0.164709316717891	0.148631957907311	0.0883369370929819	0.216823930976639	0.156040749742286	0.175524514073423	0.22695743382826	0.202091479062854	0.130554661502539	0.193414934490578	0.24174169299935	0.161573027445711	0.19280594345654	0.194810636159127	0	0.196473806970087	0.129738122382638	0.138961025082599	0.168685420211706	0.193281280182221	0.174842157135996	0.174242819904309	0.223284229217926	0.212150461530133	0.120592603849747	0.198158813243551	0.195736798947985	0.189448487252653	0.180238462429915	0.235734893100913	0.206311883065954	0.26208175673845	0.229621217331834	0.196476192323819	0.173207826684036	0.236506981606804	0.20987200288451	0.191807306553326	0.222383396667753	0.166988289728965	0.170899027253343	0.217123809337156	0.162249221471551	0.219516255542387	0.188632860239626	0.177987250185278
S80	0.256989336510913	0.303472792085639	0.243552868458421	0.143204227907458	0.245598723291254	0.230396518650558	0.219154218736931	0.24773187711166	0.265615385260058	0.238180531776027	0.266875260711055	0.131856357978218	0.204482831555447	0.229914176475781	0.12461415485585	0.201919480405788	0.129557144005382	0.312938919674142	0.149805196899639	0.185420707193596	0.277285418274017	0.145864147478358	0.0888288786778608	0.128532063001605	0.196473806970087	0	0.200842494609374	0.150387952501027	0.204558256856173	0.132997844485508	0.164088677678259	0.207425156569151	0.242417409233985	0.249850601244066	0.21830826553775	0.222754534892086	0.261934651217505	0.225361507175214	0.191281504674847	0.20995003054543	0.200553688856944	0.303003484126145	0.264879700482513	0.2181367581424	0.227146993531945	0.272776487874176	0.243062046646667	0.230056921815907	0.0972085812178732	0.151221523900401	0.215857219216515	0.261890940507923	0.215370005816213	0.23391369935419	0.16321205714085	0.158979732631705
S37	0.284475529410918	0.159998964887812	0.286829108664812	0.195849547849801	0.290658506465982	0.264083138224892	0.241296337696519	0.289259692111796	0.310399360819267	0.270072645733322	0.13652699175515	0.180449243731974	0.133076846201678	0.275993156205351	0.181350102454818	0.242569279775189	0.264156627798327	0.202606677332662	0.121681784997109	0.237115862916843	0.325695758312574	0.181384662774538	0.214288542320987	0.224365364524697	0.129738122382638	0.200842494609374	0	0.186391758693952	0.246058684057453	0.218385879452532	0.202321484875843	0.234474411242344	0.275871688319444	0.265583943949547	0.126457878973183	0.263057275965119	0.268596785945956	0.261864940029051	0.219449771071781	0.286953944984321	0.266356840120579	0.324235109556447	0.306534166305252	0.25778769041348	0.234543549501834	0.297637056694953	0.286756489078419	0.26259265391815	0.226315593616796	0.187587112339887	0.254451827996582	0.285050956159803	0.254102793502803	0.26744504345382	0.231099125113621	0.238964293260353
S58	0.176492201731442	0.260145557417881	0.146715560035053	0.09080995111601	0.153667392248439	0.129076483181122	0.125271317686936	0.1606626178261	0.165019977176718	0.141559270627134	0.235347964297913	0.146848668620272	0.148348597885297	0.143206530730915	0.116073157373335	0.114268465387103	0.143160510333026	0.274678823227403	0.137680878591489	0.129940793707414	0.194793816445111	0.105117537968711	0.12037053276616	0.121015117322233	0.138961025082599	0.150387952501027	0.186391758693952	0	0.113292308944956	0.0999995048352885	0.0879221933740877	0.105030204684081	0.154610837347605	0.164789063285174	0.166673573977635	0.12029884472689	0.182034472201786	0.121866602439039	0.0969691415375364	0.193539583840077	0.149492429405352	0.226584934202332	0.168712762393869	0.129261951489022	0.140153548153702	0.193368510320762	0.142477135632431	0.115685730664303	0.150453401979793	0.104646269739282	0.109823590993195	0.173287952133054	0.114350696482251	0.15784830564788	0.112060682779093	0.0974161319313825
S98	0.140599824818354	0.30943223309994	0.101427502954354	0.11645700463141	0.0886991133801196	0.0879625625494624	0.13309585306832	0.123866302351037	0.0928713487220145	0.105476373082325	0.299088146295147	0.163132131879984	0.186286194461323	0.125927002952881	0.173619722176409	0.0872397207773553	0.16031695061683	0.325112593085527	0.211773390585548	0.123021379655003	0.114317930356146	0.156824836815544	0.165181352264852	0.143424099087423	0.168685420211706	0.204558256856173	0.246058684057453	0.113292308944956	0	0.151284119452545	0.103685646329063	0.0993405606622184	0.133294792293273	0.139967883108279	0.216463108649845	0.0820404797316499	0.167501538393307	0.111429333623274	0.121518246520064	0.169185311972989	0.113969754310507	0.186141979715678	0.102629879479331	0.0797030030985362	0.137338740920839	0.147775452755605	0.109945211321715	0.118408397459267	0.156985645884409	0.152225131914798	0.076425698629912	0.15005939808829	0.0755629434417996	0.139192574247275	0.124309354189756	0.123232592064143
S63	0.211843915803176	0.301740427539486	0.178097802212687	0.090671342119519	0.191493480380321	0.165256156681287	0.173425726183335	0.191118772742332	0.198704474694834	0.179354478205234	0.280535541498303	0.136454897472956	0.195003580351605	0.159636247237072	0.107381624924094	0.130218525596427	0.100759262157693	0.320295988850425	0.155510963020038	0.144615169727255	0.220523715615685	0.139080283175477	0.0978291892041622	0.0854841300045096	0.193281280182221	0.132997844485508	0.218385879452532	0.0999995048352885	0.151284119452545	0	0.10169667002887	0.155681201246391	0.189459371347595	0.202560920294222	0.208452131539171	0.154650678159644	0.230355498379448	0.147900930182511	0.1309433198495	0.172965762969234	0.155104799332568	0.251676721360353	0.205237892815902	0.164248297903649	0.20696497989459	0.224780975290179	0.170506709913477	0.143594289138594	0.105964181398356	0.136627206734244	0.144780720254348	0.205775940914021	0.151649904412447	0.169347026096325	0.0944878761945497	0.0785255426589743
